発生日時月,発生日時日,発生日時時,発生日時分,天候,路面状態,道路形状,信号機,車道幅員,道路線形,衝突地点,label
1,17,6,0,1,1,14,7,5,9,1,1
1,19,11,5,5,4,1,7,15,9,30,0
1,2,12,55,1,1,1,7,11,9,30,1
12,20,16,55,3,2,1,7,12,9,30,0
1,22,13,40,1,1,1,7,12,9,30,0
12,30,22,33,1,1,7,1,4,9,1,1
1,12,8,5,1,1,14,7,4,9,1,0
1,18,10,44,1,3,14,7,3,9,1,1
1,27,7,45,1,1,1,7,14,8,30,1
1,12,11,7,5,3,13,7,3,3,1,1
1,2,19,30,3,2,1,7,12,9,30,0
12,27,9,15,5,4,14,1,4,9,1,1
1,7,0,3,2,3,14,7,3,9,1,1
12,30,20,56,5,2,1,7,14,9,30,0
1,24,15,30,1,1,14,7,5,8,1,1
1,26,6,7,3,1,14,7,3,9,1,1
1,31,8,35,1,1,1,7,15,9,30,0
1,24,8,35,1,1,1,1,15,9,30,0
12,25,17,57,2,1,14,7,3,9,1,1
1,12,10,30,1,1,1,7,11,9,30,1
12,27,8,22,5,3,1,1,18,9,30,0
1,12,14,35,1,1,1,7,16,9,30,0
12,30,17,20,1,1,14,7,2,9,1,0
1,6,17,37,1,1,13,7,2,6,1,0
1,14,17,10,1,1,14,7,4,9,1,1
1,27,8,50,1,1,1,7,11,9,30,1
1,1,15,50,2,3,1,7,15,9,30,1
12,30,2,0,1,1,14,7,3,9,1,1
1,13,8,50,1,3,7,1,3,9,1,1
12,29,17,0,2,3,14,7,3,9,1,1
1,17,14,55,1,1,1,7,15,5,30,0
12,21,7,49,3,2,14,7,3,9,1,0
1,12,9,25,1,1,1,7,11,9,30,1
12,20,11,10,1,1,14,7,3,9,1,0
1,19,18,15,1,1,1,8,18,9,30,1
1,30,15,19,2,1,1,7,11,8,30,1
12,31,10,6,1,1,0,7,0,0,20,1
11,28,12,55,1,1,7,1,6,9,1,1
1,4,17,30,1,1,14,7,5,9,1,0
1,12,13,40,1,1,1,1,15,9,30,0
1,23,12,50,1,1,7,7,3,9,1,1
12,28,2,40,5,4,1,1,15,9,30,0
12,28,7,31,5,4,1,1,14,9,30,0
1,5,9,57,1,1,7,7,3,9,1,1
1,13,17,49,1,1,14,7,6,9,1,1
12,18,13,55,1,4,13,7,3,5,1,1
1,13,15,57,2,1,14,7,4,9,1,0
1,4,10,30,1,1,1,1,19,9,30,0
12,15,11,30,1,1,14,7,4,9,1,0
12,9,23,44,1,5,0,7,0,0,20,1
1,7,8,55,1,3,1,1,15,9,30,1
1,5,13,29,1,1,14,7,3,9,1,1
12,18,17,30,2,3,1,1,19,9,30,1
1,1,9,10,1,1,1,1,15,9,30,0
1,9,23,0,1,1,1,7,15,9,30,0
1,27,14,30,1,1,14,7,5,9,1,0
1,31,8,35,1,1,1,1,15,9,30,0
1,5,8,15,1,1,0,7,0,0,20,1
12,19,15,53,1,1,14,7,3,8,1,1
1,13,16,5,1,1,1,1,15,9,30,1
1,11,10,11,5,1,1,2,14,9,30,1
1,23,16,40,1,1,14,7,1,9,1,1
1,1,5,30,1,1,11,7,3,9,1,1
